ID,Name,City,State
211,Sportsman's Park I,St. Louis,MO
212,Union Grounds,St. Louis,MO
213,Robison Field,St. Louis,MO
214,Sportsman's Park II,St. Louis,MO
215,Sportsman's Park III,St. Louis,MO
216,Handlan's Park,St. Louis,MO
217,Busch Stadium II,St. Louis,MO
218,Busch Stadium III,St. Louis,MO
219,Tropicana Field,St. Petersburg,FL
220,Sydney Cricket Ground,Sydney,Australia
221,Star Park I,Syracuse,NY
222,Star Park II,Syracuse,NY
223,Iron Pier,Syracuse,NY
224,Three Rivers Park,Three Rivers,NY
225,Tokyo Dome,Tokyo,JAP
226,League Park,Toledo,OH
227,Tri-State Fair Grounds,Toledo,OH
228,Speranza Park,Toledo,OH
229,Armory Park,Toledo,OH
230,Exhibition Stadium,Toronto,ONT
231,Rogers Centre,Toronto,ONT
232,Haymakers' Grounds,Troy,NY
233,Putnam Grounds,Troy,NY
234,Rocky Point Park,Warwick,RI
235,Olympic Grounds,Washington,DC
236,National Grounds,Washington,DC
237,Capitol Grounds,Washington,DC
238,Athletic Park,Washington,DC
239,Swampoodle Grounds,Washington,DC
240,Boundary Field,Washington,DC
241,American League Park I,Washington,DC
242,American League Park II,Washington,DC
243,Griffith Stadium,Washington,DC
244,Robert F. Kennedy Stadium,Washington,DC
245,Nationals Park,Washington,DC
246,Troy Ball Club Grounds,Watervliet,NY
247,Waverly Fairgrounds,Waverly,NJ
248,Monitor Grounds,Weehawken,NJ
249,Island Grounds,Wheeling,WV
250,Union Street Park,Wilmington,DE
251,BB&T Ballpark at Bowman Field,Williamsport,PA
252,West New York Field Club Grounds,West New York,NJ
253,Agricultural County Fair Grounds I,Worcester,MA
254,Agricultural County Fair Grounds II,Worcester,MA
255,Worcester Driving Park Grounds,Worcester,MA
