bbrefID,ID
bowieji01,1654
bowiemi01,1655
bowkejo01,1656
bowlebr01,1657
bowlech01,1658
bowleem01,1659
bowlegr01,1660
bowlist01,1661
bowliwe01,1662
bowmaab01,1663
bowmabi01,1664
bowmabo01,1665
bowmabo02,1666
bowmael01,1667
bowmaer01,1668
bowmajo01,1669
bowmaro01,1670
bowmasu01,1671
bowsere01,1672
bowsfte01,1673
bowyetr01,1674
boxbebr01,1675
boydbi01,1676
boydbo01,1677
boydfr01,1678
boydga01,1679
boydja01,1680
boydja02,1681
boydma01,1682
boydoi01,1683
boydra01,1684
boyerbl01,1685
boyercl01,1686
boyercl02,1687
boyerke01,1688
boylado01,1689
boylebu01,1690
boyleed01,1691
boyleha01,1692
boylehe01,1693
boyleja01,1694
boyleja02,1695
boyleji01,1696
bozema01,1697
brabege01,1698
brachbr01,1699
brachsi01,1700
brackan01,1701
brackgi01,1702
brackja01,1703
brackjo01,1704
braddza01,1705
bradeda01,1706
bradedo01,1707
