retroID,ID
bella001,1061
bells101,1062
bellz101,1063
bellb102,1064
bellb101,1065
bellb001,1066
bellc101,1067
belld002,1068
belld001,1069
bellj002,1070
belle001,1071
bellf102,1072
bellf101,1073
bellg102,1074
bellg101,1075
bellg001,1076
bellg103,1077
bellh001,1078
bellh101,1079
bellm002,1080
bellc001,1081
bellr001,1082
bellr002,1083
bellj001,1084
bellj101,1085
bellj004,1086
bellj003,1087
bellk101,1088
belll101,1089
bellm001,1090
bellm003,1091
bellj102,1092
belle002,1093
bellr102,1094
bellr101,1095
bellr003,1096
bellr103,1097
bellt001,1098
bellt002,1099
belnv001,1100
belod001,1101
beltb001,1102
belta001,1103
beltc001,1104
belte002,1105
belte001,1106
beltf001,1107
belto001,1108
beltr001,1109
bemih101,1110
benam001,1111
benaf001,1112
bencj101,1113
bendc101,1114
benea101,1115
beneb001,1116
benea002,1117
benea001,1118
benej101,1119
bengr101,1120
bengb101,1121
benij001,1122
benia001,1123
beniy001,1124
benjm001,1125
benjs101,1126
bennc101,1127
bennd102,1128
bennd101,1129
benne001,1130
bennf102,1131
bennf101,1132
benng001,1133
bennh102,1134
benni101,1135
bennj002,1136
bennj101,1137
bennj001,1138
bennp101,1139
benns001,1140
bennh101,1141
benoj001,1142
bensa101,1143
bensj001,1144
bensk001,1145
bensv101,1146
bentc101,1147
bentj101,1148
benta101,1149
bentb001,1150
bentl101,1151
bentr101,1152
bentr102,1153
bents101,1154
bentc001,1155
benzt001,1156
benzj101,1157
beraj101,1158
berbl101,1159
berbj001,1160
berej002,1161
bereb001,1162
berej001,1163
berga102,1164
bergd002,1165
bergb102,1166
bergb101,1167
bergb001,1168
bergb002,1169
bergc101,1170
bergh101,1171
bergj103,1172
bergj102,1173
bergm102,1174
bergp001,1175
bergt101,1176
bergw101,1177
bergj101,1178
bergm101,1179
bergj002,1180
berga101,1181
bergc001,1182
bergd001,1183
bergd003,1184
bergj001,1185
bergm103,1186
bergs001,1187
bergw001,1188
berkf101,1189
berkj001,1190
berkn101,1191
berkl001,1192
berlj101,1193
bermb101,1194
bernc101,1195
bernd101,1196
bernj102,1197
bernr001,1198
bernt001,1199
bernv101,1200
berna001,1201
bernb101,1202
bernj101,1203
bernw101,1204
bernc102,1205
bernd001,1206
beroj101,1207
berrd001,1208
berrd101,1209
berry101,1210
berrr101,1211
berra001,1212
berrg001,1213
berrc102,1214
berrc103,1215
berrc101,1216
berrd002,1217
berrj101,1218
berrj103,1219
berrj102,1220
berrk101,1221
berrn101,1222
berrq001,1223
berrs001,1224
berrt101,1225
bertf101,1226
bertd101,1227
berth102,1228
berth101,1229
bertm001,1230
bertr101,1231
bertl101,1232
berua001,1233
besaf101,1234
bescb101,1235
bessd101,1236
bessh101,1237
bestu101,1238
bestk001,1239
beswj101,1240
betad001,1241
betar001,1242
betay001,1243
betcf101,1244
betew001,1245
bethc001,1246
bethb101,1247
bethj101,1248
bettj001,1249
bettl101,1250
bettc001,1251
betth102,1252
betth101,1253
bettm001,1254
betzb101,1255
bevak001,1256
bevah101,1257
beveb101,1258
bevej001,1259
bevib101,1260
bevib001,1261
bevil101,1262
bevim101,1263
bevit801,1264
bezdh801,1265
bianb001,1266
bianj001,1267
biant101,1268
biash101,1269
bibbj001,1270
bichd001,1271
bicku801,1272
bickv101,1273
bickd101,1274
bickc101,1275
biddr001,1276
bielo101,1277
bielm001,1278
biemh101,1279
bierl101,1280
biern001,1281
bierr001,1282
bierc101,1283
biess001,1284
bigbc101,1285
bigbl101,1286
bigbl001,1287
bigee101,1288
biggc001,1289
biggc101,1290
bigli101,1291
bigng101,1292
biitl101,1293
bilad001,1294
bilbj101,1295
bilde101,1296
bilks101,1297
billb001,1298
billb002,1299
billc001,1300
billd101,1301
billh101,1302
billj101,1303
billj103,1304
billj102,1305
binkg101,1306
biras101,1307
bircj101,1308
birdd101,1309
birdf101,1310
birdg101,1311
birdg001,1312
birdr101,1313
birdd102,1314
birkm001,1315
birkk001,1316
birkr101,1317
birmj101,1318
birrb101,1319
birtt001,1320
biscf101,1321
biscj101,1322
bisej001,1323
bishb101,1324
bishb102,1325
bishc101,1326
bishf101,1327
bishj101,1328
bishl101,1329
bishm102,1330
bishm101,1331
bislr101,1332
bissd101,1333
bithh101,1334
bitkj001,1335
bittj001,1336
bittr101,1337
bivij101,1338
bixlb001,1339
bjorg101,1340
blacb103,1341
blacb102,1342
blacb101,1343
blacb001,1344
blacc101,1345
blacc001,1346
blacd102,1347
blacd101,1348
blace101,1349
blace103,1350
blace102,1351
blacf101,1352
blacg102,1353
blacg101,1354
blacj102,1355
blacj101,1356
blacj103,1357
blacl101,1358
blacn001,1359
blacr101,1360
blact101,1361
blact001,1362
blacv001,1363
bladr102,1364
bladr101,1365
blaeg101,1366
blaer101,1367
