year,ID,name
1912,75,Pittsburgh Pirates
1912,110,St. Louis Browns
1912,100,St. Louis Cardinals
1912,109,Washington Senators
1913,103,Boston Red Sox
1913,82,Brooklyn Superbas
1913,26,Boston Braves
1913,104,Chicago White Sox
1913,27,Chicago Cubs
1913,86,Cincinnati Reds
1913,105,Cleveland Naps
1913,106,Detroit Tigers
1913,50,New York Giants
1913,111,New York Yankees
1913,108,Philadelphia Athletics
1913,52,Philadelphia Phillies
1913,75,Pittsburgh Pirates
1913,110,St. Louis Browns
1913,100,St. Louis Cardinals
1913,109,Washington Senators
1914,112,Baltimore Terrapins
1914,103,Boston Red Sox
1914,113,Brooklyn Tip-Tops
1914,82,Brooklyn Robins
1914,26,Boston Braves
1914,114,Buffalo Buffeds
1914,104,Chicago White Sox
1914,115,Chicago Chi-Feds
1914,27,Chicago Cubs
1914,86,Cincinnati Reds
1914,105,Cleveland Naps
1914,106,Detroit Tigers
1914,116,Indianapolis Hoosiers
1914,117,Kansas City Packers
1914,50,New York Giants
1914,111,New York Yankees
1914,108,Philadelphia Athletics
1914,52,Philadelphia Phillies
1914,75,Pittsburgh Pirates
1914,118,Pittsburgh Rebels
1914,110,St. Louis Browns
1914,119,St. Louis Terriers
1914,100,St. Louis Cardinals
1914,109,Washington Senators
1915,112,Baltimore Terrapins
1915,103,Boston Red Sox
1915,113,Brooklyn Tip-Tops
1915,82,Brooklyn Robins
1915,26,Boston Braves
1915,114,Buffalo Blues
1915,104,Chicago White Sox
1915,115,Chicago Whales
1915,27,Chicago Cubs
1915,86,Cincinnati Reds
1915,105,Cleveland Indians
1915,106,Detroit Tigers
1915,117,Kansas City Packers
1915,120,Newark Pepper
1915,50,New York Giants
1915,111,New York Yankees
1915,108,Philadelphia Athletics
1915,52,Philadelphia Phillies
1915,75,Pittsburgh Pirates
1915,118,Pittsburgh Rebels
1915,110,St. Louis Browns
1915,119,St. Louis Terriers
1915,100,St. Louis Cardinals
1915,109,Washington Senators
1916,103,Boston Red Sox
1916,82,Brooklyn Robins
1916,26,Boston Braves
1916,104,Chicago White Sox
1916,27,Chicago Cubs
1916,86,Cincinnati Reds
1916,105,Cleveland Indians
1916,106,Detroit Tigers
1916,50,New York Giants
1916,111,New York Yankees
1916,108,Philadelphia Athletics
1916,52,Philadelphia Phillies
1916,75,Pittsburgh Pirates
1916,110,St. Louis Browns
1916,100,St. Louis Cardinals
1916,109,Washington Senators
1917,103,Boston Red Sox
1917,82,Brooklyn Robins
1917,26,Boston Braves
1917,104,Chicago White Sox
1917,27,Chicago Cubs
1917,86,Cincinnati Reds
1917,105,Cleveland Indians
1917,106,Detroit Tigers
1917,50,New York Giants
1917,111,New York Yankees
1917,108,Philadelphia Athletics
1917,52,Philadelphia Phillies
1917,75,Pittsburgh Pirates
1917,110,St. Louis Browns
1917,100,St. Louis Cardinals
1917,109,Washington Senators
1918,103,Boston Red Sox
1918,82,Brooklyn Robins
1918,26,Boston Braves
1918,104,Chicago White Sox
1918,27,Chicago Cubs
1918,86,Cincinnati Reds
1918,105,Cleveland Indians
1918,106,Detroit Tigers
1918,50,New York Giants
1918,111,New York Yankees
1918,108,Philadelphia Athletics
1918,52,Philadelphia Phillies
1918,75,Pittsburgh Pirates
1918,110,St. Louis Browns
1918,100,St. Louis Cardinals
1918,109,Washington Senators
1919,103,Boston Red Sox
1919,82,Brooklyn Robins
1919,26,Boston Braves
1919,104,Chicago White Sox
1919,27,Chicago Cubs
1919,86,Cincinnati Reds
1919,105,Cleveland Indians
1919,106,Detroit Tigers
1919,50,New York Giants
1919,111,New York Yankees
1919,108,Philadelphia Athletics
1919,52,Philadelphia Phillies
1919,75,Pittsburgh Pirates
1919,110,St. Louis Browns
1919,100,St. Louis Cardinals
1919,109,Washington Senators
1920,103,Boston Red Sox
1920,82,Brooklyn Robins
1920,26,Boston Braves
1920,104,Chicago White Sox
1920,27,Chicago Cubs
1920,86,Cincinnati Reds
1920,105,Cleveland Indians
1920,106,Detroit Tigers
1920,50,New York Giants
1920,111,New York Yankees
1920,108,Philadelphia Athletics
1920,52,Philadelphia Phillies
1920,75,Pittsburgh Pirates
1920,110,St. Louis Browns
1920,100,St. Louis Cardinals
1920,109,Washington Senators
1921,103,Boston Red Sox
1921,82,Brooklyn Robins
1921,26,Boston Braves
1921,104,Chicago White Sox
1921,27,Chicago Cubs
1921,86,Cincinnati Reds
1921,105,Cleveland Indians
1921,106,Detroit Tigers
1921,50,New York Giants
1921,111,New York Yankees
1921,108,Philadelphia Athletics
1921,52,Philadelphia Phillies
1921,75,Pittsburgh Pirates
1921,110,St. Louis Browns
1921,100,St. Louis Cardinals
1921,109,Washington Senators
1922,103,Boston Red Sox
1922,82,Brooklyn Robins
1922,26,Boston Braves
1922,104,Chicago White Sox
1922,27,Chicago Cubs
1922,86,Cincinnati Reds
1922,105,Cleveland Indians
1922,106,Detroit Tigers
1922,50,New York Giants
1922,111,New York Yankees
1922,108,Philadelphia Athletics
1922,52,Philadelphia Phillies
1922,75,Pittsburgh Pirates
1922,110,St. Louis Browns
1922,100,St. Louis Cardinals
1922,109,Washington Senators
1923,103,Boston Red Sox
1923,82,Brooklyn Robins
1923,26,Boston Braves
1923,104,Chicago White Sox
1923,27,Chicago Cubs
1923,86,Cincinnati Reds
1923,105,Cleveland Indians
1923,106,Detroit Tigers
1923,50,New York Giants
1923,111,New York Yankees
1923,108,Philadelphia Athletics
1923,52,Philadelphia Phillies
1923,75,Pittsburgh Pirates
1923,110,St. Louis Browns
1923,100,St. Louis Cardinals
1923,109,Washington Senators
1924,103,Boston Red Sox
1924,82,Brooklyn Robins
1924,26,Boston Braves
1924,104,Chicago White Sox
1924,27,Chicago Cubs
1924,86,Cincinnati Reds
1924,105,Cleveland Indians
1924,106,Detroit Tigers
1924,50,New York Giants
1924,111,New York Yankees
1924,108,Philadelphia Athletics
1924,52,Philadelphia Phillies
1924,75,Pittsburgh Pirates
1924,110,St. Louis Browns
1924,100,St. Louis Cardinals
1924,109,Washington Senators
1925,103,Boston Red Sox
1925,82,Brooklyn Robins
1925,26,Boston Braves
1925,104,Chicago White Sox
1925,27,Chicago Cubs
1925,86,Cincinnati Reds
1925,105,Cleveland Indians
1925,106,Detroit Tigers
1925,50,New York Giants
1925,111,New York Yankees
1925,108,Philadelphia Athletics
1925,52,Philadelphia Phillies
1925,75,Pittsburgh Pirates
1925,110,St. Louis Browns
1925,100,St. Louis Cardinals
1925,109,Washington Senators
1926,103,Boston Red Sox
1926,82,Brooklyn Robins
1926,26,Boston Braves
1926,104,Chicago White Sox
1926,27,Chicago Cubs
1926,86,Cincinnati Reds
1926,105,Cleveland Indians
1926,106,Detroit Tigers
1926,50,New York Giants
1926,111,New York Yankees
1926,108,Philadelphia Athletics
1926,52,Philadelphia Phillies
1926,75,Pittsburgh Pirates
1926,110,St. Louis Browns
1926,100,St. Louis Cardinals
1926,109,Washington Senators
1927,103,Boston Red Sox
1927,82,Brooklyn Robins
1927,26,Boston Braves
1927,104,Chicago White Sox
1927,27,Chicago Cubs
1927,86,Cincinnati Reds
1927,105,Cleveland Indians
1927,106,Detroit Tigers
1927,50,New York Giants
1927,111,New York Yankees
1927,108,Philadelphia Athletics
1927,52,Philadelphia Phillies
1927,75,Pittsburgh Pirates
1927,110,St. Louis Browns
1927,100,St. Louis Cardinals
1927,109,Washington Senators
1928,103,Boston Red Sox
1928,82,Brooklyn Robins
1928,26,Boston Braves
1928,104,Chicago White Sox
1928,27,Chicago Cubs
1928,86,Cincinnati Reds
1928,105,Cleveland Indians
1928,106,Detroit Tigers
1928,50,New York Giants
1928,111,New York Yankees
1928,108,Philadelphia Athletics
1928,52,Philadelphia Phillies
1928,75,Pittsburgh Pirates
1928,110,St. Louis Browns
1928,100,St. Louis Cardinals
1928,109,Washington Senators
1929,103,Boston Red Sox
1929,82,Brooklyn Robins
1929,26,Boston Braves
1929,104,Chicago White Sox
1929,27,Chicago Cubs
1929,86,Cincinnati Reds
1929,105,Cleveland Indians
1929,106,Detroit Tigers
1929,50,New York Giants
1929,111,New York Yankees
1929,108,Philadelphia Athletics
1929,52,Philadelphia Phillies
1929,75,Pittsburgh Pirates
1929,110,St. Louis Browns
1929,100,St. Louis Cardinals
1929,109,Washington Senators
1930,103,Boston Red Sox
1930,82,Brooklyn Robins
1930,26,Boston Braves
1930,104,Chicago White Sox
1930,27,Chicago Cubs
1930,86,Cincinnati Reds
1930,105,Cleveland Indians
1930,106,Detroit Tigers
1930,50,New York Giants
1930,111,New York Yankees
1930,108,Philadelphia Athletics
1930,52,Philadelphia Phillies
1930,75,Pittsburgh Pirates
1930,110,St. Louis Browns
1930,100,St. Louis Cardinals
1930,109,Washington Senators
1931,103,Boston Red Sox
1931,82,Brooklyn Robins
1931,26,Boston Braves
1931,104,Chicago White Sox
1931,27,Chicago Cubs
1931,86,Cincinnati Reds
1931,105,Cleveland Indians
1931,106,Detroit Tigers
1931,50,New York Giants
1931,111,New York Yankees
1931,108,Philadelphia Athletics
1931,52,Philadelphia Phillies
1931,75,Pittsburgh Pirates
1931,110,St. Louis Browns
1931,100,St. Louis Cardinals
1931,109,Washington Senators
1932,103,Boston Red Sox
1932,82,Brooklyn Dodgers
1932,26,Boston Braves
1932,104,Chicago White Sox
1932,27,Chicago Cubs
1932,86,Cincinnati Reds
1932,105,Cleveland Indians
1932,106,Detroit Tigers
1932,50,New York Giants
1932,111,New York Yankees
1932,108,Philadelphia Athletics
1932,52,Philadelphia Phillies
1932,75,Pittsburgh Pirates
1932,110,St. Louis Browns
1932,100,St. Louis Cardinals
1932,109,Washington Senators
1933,103,Boston Red Sox
1933,82,Brooklyn Dodgers
1933,26,Boston Braves
1933,104,Chicago White Sox
1933,27,Chicago Cubs
1933,86,Cincinnati Reds
1933,105,Cleveland Indians
1933,106,Detroit Tigers
1933,50,New York Giants
1933,111,New York Yankees
1933,108,Philadelphia Athletics
1933,52,Philadelphia Phillies
1933,75,Pittsburgh Pirates
1933,110,St. Louis Browns
1933,100,St. Louis Cardinals
1933,109,Washington Senators
1934,103,Boston Red Sox
1934,82,Brooklyn Dodgers
1934,26,Boston Braves
1934,104,Chicago White Sox
1934,27,Chicago Cubs
1934,86,Cincinnati Reds
1934,105,Cleveland Indians
1934,106,Detroit Tigers
1934,50,New York Giants
1934,111,New York Yankees
1934,108,Philadelphia Athletics
1934,52,Philadelphia Phillies
1934,75,Pittsburgh Pirates
1934,110,St. Louis Browns
1934,100,St. Louis Cardinals
1934,109,Washington Senators
1935,103,Boston Red Sox
1935,82,Brooklyn Dodgers
1935,26,Boston Braves
1935,104,Chicago White Sox
1935,27,Chicago Cubs
1935,86,Cincinnati Reds
1935,105,Cleveland Indians
1935,106,Detroit Tigers
1935,50,New York Giants
1935,111,New York Yankees
1935,108,Philadelphia Athletics
1935,52,Philadelphia Phillies
1935,75,Pittsburgh Pirates
1935,110,St. Louis Browns
1935,100,St. Louis Cardinals
1935,109,Washington Senators
1936,103,Boston Red Sox
1936,82,Brooklyn Dodgers
